"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE" ,141230 ,2014-12-30,001602 ,CBT ,00 ,001 ,  371977,   33175,  146058,  112293,    5437,   14565,   97389,   73169,   28534,   34610,   45296,   20942,  341508,  334001,   30469,   37976,  260739,   19951,   93617,   94063,    6384,     768,   72667,   75646,   12602,   36142,   43400,    4040,  240233,  236457,   20506,   24282,  111238,   13224,   52441,   20505,    1328,   11522,   32932,    5733,    7722,    5879,    9307,    9491,  101275,   97544,    9963,   13694,   -2849,    4266,   -6034,   -2475,    -231,    1249,   -1525,    -699,    1179,   -5503,    2033,     403,   -2406,   -2100,    -443,    -749,  100.0,    8.9,   39.3,   30.2,    1.5,    3.9,   26.2,   19.7,    7.7,    9.3,   12.2,    5.6,   91.8,   89.8,    8.2,   10.2,  100.0,    7.7,   35.9,   36.1,    2.4,    0.3,   27.9,   29.0,    4.8,   13.9,   16.6,    1.5,   92.1,   90.7,    7.9,    9.3,  100.0,   11.9,   47.1,   18.4,    1.2,   10.4,   29.6,    5.2,    6.9,    5.3,    8.4,    8.5,   91.0,   87.7,    9.0,   12.3,    350,     61,     83,     20,      6,     16,     68,     37,     44,     43,     67,     65,    262,    263,    335,     43,     79,     21,      4,      .,     64,     35,     33,     47,     67,     38,    210,    227,    218,     37,     68,     17,      5,     14,     30,     14,     14,     25,     44,     30,    141,    163,    17.0,    12.8,    27.0,    22.3,    14.9,    11.7,    24.5,    19.4,    18.6,    15.6,    30.7,    26.5,    18.5,    15.6,    30.3,    26.4,    25.1,    19.7,    40.0,    32.5,    23.2,    18.0,    33.5,    27.0,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001" ,"A10" ,"FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE" ,141223 ,2014-12-23,001602 ,CBT ,00 ,001 ,  374826,   28909,  152092,  114768,    5668,   13316,   98914,   73868,   27355,   40113,   43263,   20539,  343914,  336101,   30912,   38725,  265673,   14381,  100011,   95305,    6447,     760,   75550,   75307,   12796,   40697,   40753,    4595,  244084,  240669,   21589,   25004,  109153,   14528,   52081,   21136,     894,   10883,   30934,    6131,    6989,    6174,    9268,    9186,   99830,   95432,    9323,   13721,    6228,   -3475,   -8696,   -5211,    1376,    2363,    4704,   -2765,    4761,    1967,    9693,    2540,    7649,    9272,   -1421,   -3044,  100.0,    7.7,   40.6,   30.6,    1.5,    3.6,   26.4,   19.7,    7.3,   10.7,   11.5,    5.5,   91.8,   89.7,    8.2,   10.3,  100.0,    5.4,   37.6,   35.9,    2.4,    0.3,   28.4,   28.3,    4.8,   15.3,   15.3,    1.7,   91.9,   90.6,    8.1,    9.4,  100.0,   13.3,   47.7,   19.4,    0.8,   10.0,   28.3,    5.6,    6.4,    5.7,    8.5,    8.4,   91.5,   87.4,    8.5,   12.6,    367,     54,     85,     20,      6,     16,     72,     40,     43,     50,     71,     63,    264,    270,    352,     35,     82,     21,      4,      .,     68,     39,     34,     54,     69,     36,    211,    237,    217,     36,     70,     18,      4,     14,     27,     15,     13,     31,     39,     31,    140,    163,    17.0,    13.1,    27.1,    22.7,    15.1,    11.6,    24.8,    19.5,    18.7,    16.4,    30.6,    27.3,    18.6,    16.2,    30.2,    27.0,    24.9,    19.8,    39.2,    32.5,    23.5,    18.3,    34.2,    27.4,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001" ,"A10" ,"FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE" ,141216 ,2014-12-16,001602 ,CBT ,00 ,001 ,  368598,   32384,  160788,  119979,    4292,   10953,   94210,   76633,   22594,   38146,   33570,   17999,  336265,  326829,   32333,   41769,  271092,   17423,  111343,   97444,    5772,    1554,   73842,   73380,   12587,   40936,   32695,    5019,  248805,  242350,   22287,   28742,   97506,   14961,   49445,   26164,    2149,    5770,   26377,    9262,    3998,    6010,    9675,    4180,   87460,   84479,   10046,   13027,   -5250,   -6075,    8981,     204,     -19,    -778,    2557,   -9332,    -377,    5315,    2052,   -5899,   -5053,   -5372,    -197,     122,  100.0,    8.8,   43.6,   32.6,    1.2,    3.0,   25.6,   20.8,    6.1,   10.3,    9.1,    4.9,   91.2,   88.7,    8.8,   11.3,  100.0,    6.4,   41.1,   35.9,    2.1,    0.6,   27.2,   27.1,    4.6,   15.1,   12.1,    1.9,   91.8,   89.4,    8.2,   10.6,  100.0,   15.3,   50.7,   26.8,    2.2,    5.9,   27.1,    9.5,    4.1,    6.2,    9.9,    4.3,   89.7,   86.6,   10.3,   13.4,    353,     52,     84,     21,      4,     16,     64,     46,     45,     56,     55,     59,    257,    260,    341,     40,     83,     20,      4,      5,     64,     43,     35,     58,     57,     35,    216,    231,    204,     35,     64,     18,      4,     12,     23,     15,     12,     31,     34,     24,    131,    146,    17.7,    15.0,    27.7,    25.1,    16.1,    13.8,    26.1,    22.4,    19.2,    18.4,    30.9,    29.1,    19.1,    18.4,    30.5,    29.0,    28.3,    21.8,    44.1,    36.3,    27.8,    19.1,    39.5,    30.9,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001" ,"A10" ,"FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE" ,141209 ,2014-12-09,001602 ,CBT ,00 ,001 ,  373848,   38459,  151807,  119775,    4311,   11731,   91653,   85965,   22971,   32831,   31518,   23898,  341318,  332201,   32530,   41647,  277327,   24504,  105803,   95796,    6147,    1973,   71481,   80474,   14285,   36946,   30605,    9847,  254832,  249134,   22495,   28193,   96521,   13955,   46004,   28069,    2254,    5668,   25643,   10962,    3215,    6128,   11156,    3808,   86486,   83067,   10035,   13454,   -1515,   -4012,   11222,    1432,    -346,    -695,    6688,   -3014,   -4520,    1197,   -1240,    -879,    -789,     528,    -726,   -2043,  100.0,   10.3,   40.6,   32.0,    1.2,    3.1,   24.5,   23.0,    6.1,    8.8,    8.4,    6.4,   91.3,   88.9,    8.7,   11.1,  100.0,    8.8,   38.2,   34.5,    2.2,    0.7,   25.8,   29.0,    5.2,   13.3,   11.0,    3.6,   91.9,   89.8,    8.1,   10.2,  100.0,   14.5,   47.7,   29.1,    2.3,    5.9,   26.6,   11.4,    3.3,    6.3,   11.6,    3.9,   89.6,   86.1,   10.4,   13.9,    350,     55,     85,     20,      5,     18,     56,     46,     39,     55,     57,     60,    257,    256,    340,     43,     83,     19,      5,      7,     59,     43,     30,     60,     54,     45,    220,    234,    205,     37,     66,     18,      4,     13,     18,     19,      8,     27,     38,     23,    125,    150,    17.5,    14.4,    27.1,    23.6,    16.0,    12.6,    25.6,    20.9,    18.1,    17.5,    29.1,    27.7,    18.0,    17.5,    28.5,    27.6,    29.4,    20.9,    42.2,    34.5,    29.1,    19.0,    40.3,    30.0,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001" ,"A10" ,"FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE" ,141202 ,2014-12-02,001602 ,CBT ,00 ,001 ,  375363,   42471,  140585,  118343,    4657,   12426,   84965,   88979,   27491,   31634,   32758,   24777,  342107,  331673,   33256,   43690,  283326,   29242,   98018,   93710,    6622,    3131,   66124,   82747,   20928,   36811,   33095,    8942,  258888,  253483,   24438,   29843,   92037,   13229,   42567,   29117,    2519,    4811,   23708,   11099,    1696,    6866,   11706,    3792,   83219,   78190,    8818,   13847,    3439,    4677,   11401,     -19,    -144,     405,    2719,   -5478,   -1038,   -3990,     972,   -1977,     777,    4141,    2662,    -702,  100.0,   11.3,   37.5,   31.5,    1.2,    3.3,   22.6,   23.7,    7.3,    8.4,    8.7,    6.6,   91.1,   88.4,    8.9,   11.6,  100.0,   10.3,   34.6,   33.1,    2.3,    1.1,   23.3,   29.2,    7.4,   13.0,   11.7,    3.2,   91.4,   89.5,    8.6,   10.5,  100.0,   14.4,   46.2,   31.6,    2.7,    5.2,   25.8,   12.1,    1.8,    7.5,   12.7,    4.1,   90.4,   85.0,    9.6,   15.0,    361,     57,     87,     21,      5,     17,     52,     56,     37,     55,     59,     58,    254,    264,    348,     48,     83,     19,      6,      6,     55,     51,     30,     62,     55,     37,    220,    235,    205,     36,     64,     18,      4,     12,     19,     19,      7,     26,     38,     21,    124,    144,    17.6,    13.7,    27.3,    22.9,    16.1,    11.7,    25.4,    19.9,    18.1,    16.5,    28.7,    26.5,    18.0,    16.5,    28.0,    25.7,    30.9,    20.6,    45.2,    34.0,    30.8,    18.7,    43.5,    29.5,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001" ,"A10" ,"FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE" ,141125 ,2014-11-25,001602 ,CBT ,00 ,001 ,  371924,   37794,  129184,  118362,    4801,   12021,   82246,   94457,   28529,   35624,   31786,   26754,  341330,  327532,   30594,   44392,  286571,   28584,   89893,   92423,    6264,    3347,   63806,   87075,   23343,   40722,   33358,   11646,  263871,  254926,   22700,   31645,   85353,    9210,   39291,   29868,    2466,    4745,   22287,   11229,    1339,    6474,   10000,    3536,   77459,   72606,    7894,   12747,  -39522,   -8641,   -9967,   -9569,     283,    -102,   -2583,   -3044,     602,   -5964,  -17492,   -9513,  -35770,  -39233,   -3752,    -289,  100.0,   10.2,   34.7,   31.8,    1.3,    3.2,   22.1,   25.4,    7.7,    9.6,    8.5,    7.2,   91.8,   88.1,    8.2,   11.9,  100.0,   10.0,   31.4,   32.3,    2.2,    1.2,   22.3,   30.4,    8.1,   14.2,   11.6,    4.1,   92.1,   89.0,    7.9,   11.0,  100.0,   10.8,   46.0,   35.0,    2.9,    5.6,   26.1,   13.2,    1.6,    7.6,   11.7,    4.1,   90.8,   85.1,    9.2,   14.9,    359,     67,     80,     21,      4,     15,     48,     56,     35,     56,     58,     71,    271,    263,    346,     57,     76,     19,      5,      6,     52,     51,     30,     67,     53,     53,    239,    238,    206,     37,     62,     18,      4,     11,     18,     19,      7,     26,     41,     25,    128,    145,    17.5,    12.7,    27.3,    22.4,    16.1,    11.4,    25.4,    19.8,    17.6,    15.5,    28.4,    26.4,    17.4,    15.3,    27.4,    24.8,    32.2,    21.9,    46.0,    35.8,    32.1,    19.5,    44.6,    31.1,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001" ,"A10" ,"FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE" ,141118 ,2014-11-18,001602 ,CBT ,00 ,001 ,  411446,   46435,  139151,  127931,    4518,   12123,   84829,   97501,   27927,   41588,   49278,   36267,  377100,  366765,   34346,   44681,  329359,   37852,  101944,  103322,    5995,    3288,   66836,   91022,   24059,   47150,   50714,   20200,  302707,  297222,   26652,   32137,   82087,    8583,   37207,   28868,    2782,    4576,   20905,    9391,     956,    6570,   10696,    3935,   74393,   69543,    7694,   12544,   -3385,    2756,   14268,    1202,    1066,   -1142,    1537,  -16129,   -3960,   -1324,    7457,    -169,   -1100,    1391,   -2285,   -4776,  100.0,   11.3,   33.8,   31.1,    1.1,    2.9,   20.6,   23.7,    6.8,   10.1,   12.0,    8.8,   91.7,   89.1,    8.3,   10.9,  100.0,   11.5,   31.0,   31.4,    1.8,    1.0,   20.3,   27.6,    7.3,   14.3,   15.4,    6.1,   91.9,   90.2,    8.1,    9.8,  100.0,   10.5,   45.3,   35.2,    3.4,    5.6,   25.5,   11.4,    1.2,    8.0,   13.0,    4.8,   90.6,   84.7,    9.4,   15.3,    368,     69,     81,     22,      4,     18,     49,     53,     35,     58,     67,     78,    276,    277,    354,     62,     78,     20,      5,     11,     46,     52,     31,     66,     64,     66,    251,    257,    198,     33,     61,     18,      4,     11,     17,     17,      5,     28,     37,     21,    121,    134,    16.7,    13.3,    26.0,    21.8,    15.2,    12.3,    24.5,    19.2,    16.5,    15.9,    26.5,    25.6,    16.3,    15.8,    26.1,    23.2,    31.6,    22.9,    44.8,    36.5,    31.5,    20.6,    43.7,    32.8,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001" ,"A10" ,"FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE" ,141111 ,2014-11-11,001602 ,CBT ,00 ,001 ,  414831,   43679,  124883,  126729,    3452,   13265,   83292,  113630,   31887,   42912,   41821,   36436,  378200,  365374,   36631,   49457,  338483,   34930,   92164,  103889,    4687,    4227,   68653,  106757,   27973,   48307,   44293,   21194,  309173,  301295,   29310,   37188,   76348,    8749,   32719,   28193,    4118,    3685,   16441,    8675,    2112,    6997,    9920,    2850,   69027,   64079,    7321,   12269,   -4716,   -3404,    -678,    2763,     421,   -5741,   -1701,   -2527,   -2135,   -2046,     521,    2712,   -9552,   -7427,    4836,    2711,  100.0,   10.5,   30.1,   30.5,    0.8,    3.2,   20.1,   27.4,    7.7,   10.3,   10.1,    8.8,   91.2,   88.1,    8.8,   11.9,  100.0,   10.3,   27.2,   30.7,    1.4,    1.2,   20.3,   31.5,    8.3,   14.3,   13.1,    6.3,   91.3,   89.0,    8.7,   11.0,  100.0,   11.5,   42.9,   36.9,    5.4,    4.8,   21.5,   11.4,    2.8,    9.2,   13.0,    3.7,   90.4,   83.9,    9.6,   16.1,    371,     62,     79,     20,      5,     17,     44,     59,     45,     64,     63,     85,    285,    281,    362,     54,     74,     19,      6,     11,     44,     57,     42,     68,     65,     68,    257,    263,    194,     32,     59,     17,      4,     11,     15,     15,      6,     32,     33,     18,    120,    129,    16.0,    11.4,    25.6,    19.3,    14.7,    10.4,    24.1,    17.4,    16.2,    13.5,    26.0,    22.8,    16.2,    13.2,    25.5,    21.5,    32.9,    22.8,    45.6,    35.6,    32.8,    20.3,    45.2,    32.9,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001" ,"A10" ,"FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE" ,141104 ,2014-11-04,001602 ,CBT ,00 ,001 ,  419547,   47083,  125561,  123966,    3031,   19006,   84993,  116157,   34022,   44958,   41300,   33724,  387752,  372801,   31795,   46746,  349034,   37808,   95110,  106338,    5622,    8452,   72074,  110972,   29329,   49177,   43412,   19976,  323154,  312873,   25880,   36161,   70513,    9275,   30451,   25160,    4941,    3022,   15528,    7794,    2084,    6011,    8118,    3518,   64598,   59928,    5915,   10585,   -5898,   -1281,    6465,    1093,    -146,     158,    2253,   -9536,     335,   -6778,   -2402,   -1285,   -5505,   -6411,    -393,     513,  100.0,   11.2,   29.9,   29.5,    0.7,    4.5,   20.3,   27.7,    8.1,   10.7,    9.8,    8.0,   92.4,   88.9,    7.6,   11.1,  100.0,   10.8,   27.2,   30.5,    1.6,    2.4,   20.6,   31.8,    8.4,   14.1,   12.4,    5.7,   92.6,   89.6,    7.4,   10.4,  100.0,   13.2,   43.2,   35.7,    7.0,    4.3,   22.0,   11.1,    3.0,    8.5,   11.5,    5.0,   91.6,   85.0,    8.4,   15.0,    380,     64,     78,     21,      5,     18,     48,     64,     47,     60,     62,     82,    289,    287,    370,     58,     73,     19,      7,     12,     46,     64,     45,     68,     62,     69,    266,    270,    187,     30,     60,     17,      4,     12,     13,     19,      5,     28,     31,     20,    111,    132,    15.6,    12.3,    25.0,    20.3,    14.2,    11.6,    23.5,    18.3,    16.5,    14.6,    26.0,    23.8,    16.3,    14.4,    25.4,    22.5,    32.7,    24.4,    44.9,    37.2,    32.5,    22.5,    44.5,    35.0,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001" ,"A10" ,"FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE" ,141028 ,2014-10-28,001602 ,CBT ,00 ,001 ,  425445,   48364,  119096,  122873,    3177,   18848,   82740,  125693,   33687,   51736,   43702,   35009,  393257,  379212,   32188,   46233,  357035,   39205,   92099,  107605,    4887,    9074,   71230,  120568,   27739,   55966,   46380,   20105,  330924,  320852,   26111,   36183,   68410,    9159,   26997,   22018,    5040,    3024,   15069,    8684,    2389,    6894,    8446,    3780,   62333,   58360,    6077,   10050,   10044,     541,   10676,     261,    1106,    2560,    1032,   -6811,    3682,    4088,     109,   -1608,   10556,    9714,    -512,     330,  100.0,   11.4,   28.0,   28.9,    0.7,    4.4,   19.4,   29.5,    7.9,   12.2,   10.3,    8.2,   92.4,   89.1,    7.6,   10.9,  100.0,   11.0,   25.8,   30.1,    1.4,    2.5,   20.0,   33.8,    7.8,   15.7,   13.0,    5.6,   92.7,   89.9,    7.3,   10.1,  100.0,   13.4,   39.5,   32.2,    7.4,    4.4,   22.0,   12.7,    3.5,   10.1,   12.3,    5.5,   91.1,   85.3,    8.9,   14.7,    379,     59,     78,     22,      4,     18,     46,     62,     46,     64,     63,     75,    275,    284,    369,     55,     75,     19,      7,     12,     44,     63,     45,     67,     61,     60,    251,    270,    173,     25,     55,     17,      4,     11,     14,     12,      5,     27,     27,     17,    104,    115,    16.1,    11.9,    25.4,    19.8,    14.6,    11.0,    23.8,    17.6,    17.4,    14.0,    27.4,    22.4,    17.3,    13.6,    27.1,    21.3,    29.6,    25.0,    42.1,    38.3,    29.5,    22.9,    41.6,    35.7,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001" ,"A10" ,"FutOnly"
