machine,run_slug,asset,timeframe,algo,preset,feature_families,seed,device,timesteps,commission,slippage,total_return,pessimistic_cost_return,buy_hold_return,delta_vs_no_trade,delta_vs_buy_hold,max_drawdown_pct,sharpe_ratio,sqn,trades_total,trades_won,trades_lost,avg_trade_pnl,episode_length,promotion_blocked_by_hardening,promotion_blocker_reason,run_dir
dragon,btcusdt_15m_dqn_baseline_12_direct_atr_sltp_s0_20260502T065236Z_project3_stage31_firstwave,btcusdt,15m,dqn,baseline_12,baseline,0,cuda,50000,0.0002,0.0,0.02996615641166067,0.02984195641166067,,0.02996615641166067,,5.023599567492455,-0.028519259866333614,-0.6759136921342855,621,272,348,-0.11797301240092205,222859,True,"Requires leakage audit, availability audit, DSR/PBO diagnostics, and explicit cost-sensitivity rerun before Stage B promotion.",/home/harveybc/Documents/GitHub/financial-data/experiments/stage_a_screening/runs/dragon/btcusdt_15m_dqn_baseline_12_direct_atr_sltp_s0_20260502T065236Z_project3_stage31_firstwave
dragon,btcusdt_15m_dqn_baseline_12_direct_atr_sltp_s1_20260502T065443Z_project3_stage31_firstwave,btcusdt,15m,dqn,baseline_12,baseline,1,cuda,50000,0.0002,0.0,-0.2808429408799712,-0.2841495408799712,,-0.2808429408799712,,28.70209647829285,-0.11867596163424106,-4.576864616099883,16533,7354,9178,-0.17030426853027975,222859,True,"Requires leakage audit, availability audit, DSR/PBO diagnostics, and explicit cost-sensitivity rerun before Stage B promotion.",/home/harveybc/Documents/GitHub/financial-data/experiments/stage_a_screening/runs/dragon/btcusdt_15m_dqn_baseline_12_direct_atr_sltp_s1_20260502T065443Z_project3_stage31_firstwave
dragon,btcusdt_15m_dqn_crypto_full_direct_atr_sltp_s0_20260502T100408Z_project3_stage31_firstwave,btcusdt,15m,dqn,crypto_full,crypto_full,0,cuda,50000,0.0002,0.0,-0.0869203297182779,-0.0880967297182779,,-0.0869203297182779,,9.249729603511662,-0.07595428943239461,-1.6222820484091214,5882,2396,3485,-0.14774050015351536,222653,True,"Requires leakage audit, availability audit, DSR/PBO diagnostics, and explicit cost-sensitivity rerun before Stage B promotion.",/home/harveybc/Documents/GitHub/financial-data/experiments/stage_a_screening/runs/dragon/btcusdt_15m_dqn_crypto_full_direct_atr_sltp_s0_20260502T100408Z_project3_stage31_firstwave
dragon,btcusdt_15m_dqn_crypto_full_direct_atr_sltp_s1_20260502T100726Z_project3_stage31_firstwave,btcusdt,15m,dqn,crypto_full,crypto_full,1,cuda,50000,0.0002,0.0,-0.021227558753024622,-0.02165715875302462,,-0.021227558753024622,,12.08714611096646,-0.02630047881305437,-0.7276395882466893,2148,921,1226,-0.21080481202355508,222653,True,"Requires leakage audit, availability audit, DSR/PBO diagnostics, and explicit cost-sensitivity rerun before Stage B promotion.",/home/harveybc/Documents/GitHub/financial-data/experiments/stage_a_screening/runs/dragon/btcusdt_15m_dqn_crypto_full_direct_atr_sltp_s1_20260502T100726Z_project3_stage31_firstwave
dragon,btcusdt_15m_dqn_kitchen_sink_guarded_direct_atr_sltp_s0_20260502T103253Z_project3_stage31_firstwave,btcusdt,15m,dqn,kitchen_sink_guarded,kitchen_sink_guarded,0,cuda,50000,0.0002,0.0,0.00022460112542876942,0.00022360112542876942,,0.00022460112542876942,,0.21391227110627176,-1.3892495492913413,0.152437501604058,5,2,3,0.449202250857142,222554,True,"Requires leakage audit, availability audit, DSR/PBO diagnostics, and explicit cost-sensitivity rerun before Stage B promotion.",/home/harveybc/Documents/GitHub/financial-data/experiments/stage_a_screening/runs/dragon/btcusdt_15m_dqn_kitchen_sink_guarded_direct_atr_sltp_s0_20260502T103253Z_project3_stage31_firstwave
dragon,btcusdt_15m_dqn_kitchen_sink_guarded_direct_atr_sltp_s1_20260502T103612Z_project3_stage31_firstwave,btcusdt,15m,dqn,kitchen_sink_guarded,kitchen_sink_guarded,1,cuda,50000,0.0002,0.0,0.0014481994524282449,0.0014469994524282449,,0.0014481994524282449,,0.11541064162091771,-1.4492854850585275,0.9833743891073141,6,4,2,2.4136657540476176,222554,True,"Requires leakage audit, availability audit, DSR/PBO diagnostics, and explicit cost-sensitivity rerun before Stage B promotion.",/home/harveybc/Documents/GitHub/financial-data/experiments/stage_a_screening/runs/dragon/btcusdt_15m_dqn_kitchen_sink_guarded_direct_atr_sltp_s1_20260502T103612Z_project3_stage31_firstwave
dragon,btcusdt_15m_dqn_learned_cnn_direct_atr_sltp_s0_20260502T090846Z_project3_stage31_firstwave,btcusdt,15m,dqn,learned_cnn,learned_cnn,0,cuda,50000,0.0002,0.0,-0.04971169358149785,-0.05043369358149785,,-0.04971169358149785,,7.700710394365119,-0.06103751102362488,-0.9417159486440276,3610,1432,2177,-0.036477296382456594,222908,True,"Requires leakage audit, availability audit, DSR/PBO diagnostics, and explicit cost-sensitivity rerun before Stage B promotion.",/home/harveybc/Documents/GitHub/financial-data/experiments/stage_a_screening/runs/dragon/btcusdt_15m_dqn_learned_cnn_direct_atr_sltp_s0_20260502T090846Z_project3_stage31_firstwave
dragon,btcusdt_15m_dqn_learned_cnn_direct_atr_sltp_s1_20260502T091101Z_project3_stage31_firstwave,btcusdt,15m,dqn,learned_cnn,learned_cnn,1,cuda,50000,0.0002,0.0,-0.024009238954800227,-0.024015638954800227,,-0.024009238954800227,,3.7882989315957403,-0.1247976154430853,-0.8413883752187629,32,11,21,-7.502887173374995,222908,True,"Requires leakage audit, availability audit, DSR/PBO diagnostics, and explicit cost-sensitivity rerun before Stage B promotion.",/home/harveybc/Documents/GitHub/financial-data/experiments/stage_a_screening/runs/dragon/btcusdt_15m_dqn_learned_cnn_direct_atr_sltp_s1_20260502T091101Z_project3_stage31_firstwave
dragon,btcusdt_15m_dqn_learned_lstm_direct_atr_sltp_s0_20260502T084218Z_project3_stage31_firstwave,btcusdt,15m,dqn,learned_lstm,learned_lstm,0,cuda,50000,0.0002,0.0,-0.04971169358149785,-0.05043369358149785,,-0.04971169358149785,,7.700710394365119,-0.06103751102362488,-0.9417159486440276,3610,1432,2177,-0.036477296382456594,222908,True,"Requires leakage audit, availability audit, DSR/PBO diagnostics, and explicit cost-sensitivity rerun before Stage B promotion.",/home/harveybc/Documents/GitHub/financial-data/experiments/stage_a_screening/runs/dragon/btcusdt_15m_dqn_learned_lstm_direct_atr_sltp_s0_20260502T084218Z_project3_stage31_firstwave
dragon,btcusdt_15m_dqn_learned_lstm_direct_atr_sltp_s1_20260502T084432Z_project3_stage31_firstwave,btcusdt,15m,dqn,learned_lstm,learned_lstm,1,cuda,50000,0.0002,0.0,-0.024009238954800227,-0.024015638954800227,,-0.024009238954800227,,3.7882989315957403,-0.1247976154430853,-0.8413883752187629,32,11,21,-7.502887173374995,222908,True,"Requires leakage audit, availability audit, DSR/PBO diagnostics, and explicit cost-sensitivity rerun before Stage B promotion.",/home/harveybc/Documents/GitHub/financial-data/experiments/stage_a_screening/runs/dragon/btcusdt_15m_dqn_learned_lstm_direct_atr_sltp_s1_20260502T084432Z_project3_stage31_firstwave
