DateTime,Open,High,Low,Close,Volume
2005-01-03,102.58,103.0,102.46,102.66,0
2005-01-04,102.67,104.83,102.51,104.44,0
2005-01-05,104.45,105.05,103.78,104.28,0
2005-01-06,104.29,105.22,104.03,104.71,0
2005-01-07,104.7,105.14,103.88,104.83,0
2005-01-09,104.83,104.86,104.59,104.67,0
2005-01-10,104.66,104.82,103.92,103.99,0
2005-01-11,104.0,104.23,103.14,103.48,0
2005-01-12,103.49,103.56,102.17,102.47,0
2005-01-13,102.46,103.02,102.26,102.93,0
2005-01-14,102.77,103.22,101.79,102.12,0
2005-01-16,102.12,102.2,101.89,102.19,0
2005-01-17,102.18,102.63,101.71,102.45,0
2005-01-18,102.46,103.01,102.18,102.48,0
2005-01-19,102.48,102.99,102.06,102.64,0
2005-01-20,102.63,103.64,102.53,103.43,0
2005-01-21,103.44,103.96,102.65,102.71,0
2005-01-23,102.71,103.0,102.71,102.9,0
2005-01-24,102.89,103.05,102.53,102.82,0
2005-01-25,102.83,104.37,102.76,103.46,0
2005-01-26,103.45,103.68,102.78,103.21,0
2005-01-27,103.22,103.55,102.38,103.25,0
2005-01-28,103.26,103.79,103.02,103.38,0
2005-01-30,103.38,103.72,103.38,103.55,0
2005-01-31,103.56,103.81,103.38,103.72,0
2005-02-01,103.73,104.13,103.54,103.74,0
2005-02-02,103.75,104.29,103.38,104.23,0
2005-02-03,104.24,104.75,103.84,104.47,0
2005-02-04,104.48,104.64,103.52,104.09,0
2005-02-06,104.33,104.36,104.14,104.28,0
2005-02-07,104.27,105.18,104.13,105.16,0
2005-02-08,105.15,105.99,105.02,105.73,0
2005-02-09,105.71,106.01,105.34,105.59,0
2005-02-10,105.6,106.88,105.38,105.85,0
2005-02-11,105.84,105.94,105.51,105.76,0
2005-02-13,105.76,105.76,104.88,104.9,0
2005-02-14,104.91,105.39,104.69,105.33,0
2005-02-15,105.32,105.34,104.32,104.9,0
2005-02-16,104.89,105.75,104.85,105.28,0
2005-02-17,105.29,105.82,105.2,105.49,0
2005-02-18,105.48,105.89,105.2,105.63,0
2005-02-20,105.63,105.83,105.63,105.79,0
2005-02-21,105.8,105.83,104.81,104.88,0
2005-02-22,104.87,104.91,103.86,104.71,0
2005-02-23,104.7,105.15,104.6,104.78,0
2005-02-24,104.77,105.6,104.65,105.36,0
2005-02-25,105.37,105.51,105.07,105.25,0
2005-02-27,105.25,105.35,104.67,104.76,0
2005-02-28,104.75,104.8,104.14,104.52,0
2005-03-01,104.53,104.75,104.2,104.63,0
2005-03-02,104.62,105.18,104.59,104.9,0
2005-03-03,104.89,105.49,104.77,105.39,0
2005-03-04,105.4,105.62,104.37,104.73,0
2005-03-06,104.77,104.88,104.56,104.8,0
2005-03-07,104.81,105.38,104.79,105.1,0
2005-03-08,105.11,105.16,104.38,104.59,0
2005-03-09,104.58,104.72,103.68,104.07,0
2005-03-10,104.08,104.36,103.81,104.15,0
2005-03-11,104.16,104.31,103.76,104.01,0
2005-03-13,103.85,104.59,103.73,104.42,0
2005-03-14,104.43,105.2,104.41,104.8,0
2005-03-15,104.79,105.01,104.19,104.45,0
2005-03-16,104.46,104.5,103.93,104.34,0
2005-03-17,104.33,104.89,104.16,104.78,0
2005-03-18,104.79,105.08,104.62,104.76,0
2005-03-20,104.78,105.11,104.7,104.94,0
2005-03-21,104.95,105.51,104.78,105.19,0
2005-03-22,105.18,105.7,104.87,105.37,0
2005-03-23,105.38,106.46,105.31,106.21,0
2005-03-24,106.22,106.59,106.12,106.38,0
2005-03-25,106.39,106.47,106.28,106.4,0
2005-03-27,106.53,107.0,106.52,106.96,0
2005-03-28,106.95,107.41,106.72,107.18,0
2005-03-29,107.2,107.72,106.96,107.27,0
2005-03-30,107.28,107.68,107.03,107.31,0
2005-03-31,107.3,107.59,106.68,107.49,0
2005-04-01,107.48,107.81,106.79,107.6,0
2005-04-03,107.68,107.79,107.58,107.72,0
2005-04-04,107.73,108.7,107.68,108.64,0
2005-04-05,108.63,108.91,108.04,108.16,0
2005-04-06,108.15,108.81,107.9,108.6,0
2005-04-07,108.61,108.76,108.14,108.64,0
2005-04-08,108.63,108.89,108.24,108.3,0
2005-04-10,108.3,108.56,108.27,108.47,0
2005-04-11,108.46,108.5,107.55,107.66,0
2005-04-12,107.65,108.49,107.39,107.47,0
2005-04-13,107.46,107.86,107.15,107.79,0
2005-04-14,107.8,108.44,107.64,108.23,0
2005-04-15,108.24,108.58,107.5,107.78,0
2005-04-17,107.67,108.07,107.5,107.94,0
2005-04-18,107.95,108.03,107.3,107.37,0
2005-04-19,107.36,107.52,106.75,106.85,0
2005-04-20,106.86,107.5,106.64,106.86,0
2005-04-21,106.87,107.45,106.75,106.79,0
2005-04-22,106.8,106.85,105.79,106.04,0
2005-04-24,105.34,106.08,105.28,106.0,0
2005-04-25,106.01,106.1,105.6,105.82,0
2005-04-26,105.81,106.38,105.78,106.31,0
2005-04-27,106.32,106.42,105.72,105.91,0
2005-04-28,105.92,106.16,105.56,105.88,0
2005-04-29,105.89,105.91,104.65,104.81,0
2005-05-01,105.11,105.43,105.01,105.31,0
2005-05-02,105.32,105.44,104.94,105.23,0
2005-05-03,105.24,105.32,104.65,104.74,0
2005-05-04,104.73,104.97,104.23,104.57,0
2005-05-05,104.58,104.85,104.25,104.68,0
2005-05-06,104.69,105.11,104.55,105.01,0
2005-05-08,105.15,105.39,105.1,105.32,0
2005-05-09,105.33,105.85,105.24,105.69,0
2005-05-10,105.68,105.98,105.39,105.62,0
2005-05-11,105.63,106.18,104.95,106.02,0
2005-05-12,106.01,106.99,106.0,106.8,0
2005-05-13,106.81,107.46,106.77,107.36,0
2005-05-15,107.3,107.61,107.26,107.58,0
2005-05-16,107.59,107.8,106.59,107.06,0
2005-05-17,107.05,107.8,106.96,107.67,0
2005-05-18,107.66,107.74,106.79,107.02,0
2005-05-19,107.03,107.78,106.98,107.57,0
2005-05-20,107.56,108.32,107.38,108.19,0
2005-05-22,108.24,108.32,108.0,108.02,0
2005-05-23,108.01,108.17,107.58,107.7,0
2005-05-24,107.71,107.72,107.25,107.39,0
2005-05-25,107.38,108.01,107.31,107.94,0
2005-05-26,107.93,108.29,107.87,107.95,0
2005-05-27,107.94,108.11,107.76,107.97,0
2005-05-29,108.01,108.18,107.85,107.87,0
2005-05-30,107.88,108.3,107.76,108.08,0
2005-05-31,108.09,108.59,107.74,108.32,0
2005-06-01,108.31,108.89,108.19,108.53,0
2005-06-02,108.52,108.61,107.85,107.94,0
2005-06-03,107.95,108.19,107.49,107.74,0
2005-06-05,107.72,107.86,107.55,107.56,0
2005-06-06,107.57,107.59,106.75,106.86,0
2005-06-07,106.87,107.02,106.53,106.86,0
2005-06-08,106.85,107.42,106.73,107.2,0
2005-06-09,107.21,107.78,107.14,107.57,0
2005-06-10,107.56,108.67,107.36,108.64,0
2005-06-12,108.64,108.85,108.48,108.56,0
2005-06-13,108.55,109.7,108.48,109.4,0
2005-06-14,109.39,109.55,109.11,109.3,0
2005-06-15,109.31,109.51,109.18,109.37,0
2005-06-16,109.36,109.43,108.7,108.95,0
2005-06-17,108.96,109.12,108.54,108.6,0
