asset,timeframe,horizon_bucket,model_family,experiment_phase,input_family,coverage_weeks,test_year,mean_weekly_return_pct,annual_return_pct,mean_weekly_rap_pct,annual_rap_pct,mean_weekly_drawdown_pct,mean_weekly_test_trades,rel_volume,sltp_risk_mode,k_sl,k_tp,risk_penalty_lambda,train_years,training_policy,candidate_id,olap_profile_key
solusdt,4h,long,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.155908,8.107232,0.062929,3.272312,0.185958,0.692308,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,solusdt_4h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
eurusd,4h,long,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.000112,0.005813,9.9e-05,0.005128,2.6e-05,0.038462,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,eurusd_4h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
dogeusdt,4h,long,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,7.4e-05,0.003866,5.4e-05,0.002791,4.1e-05,0.076923,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,dogeusdt_4h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
adausdt,4h,long,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,adausdt_4h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
eurgbp,4h,long,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,eurgbp_4h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
gbpusd,4h,long,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,gbpusd_4h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
nzdusd,4h,long,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,nzdusd_4h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
usdcad,4h,long,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,usdcad_4h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
usdchf,4h,long,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,usdchf_4h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
xrpusdt,4h,long,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,xrpusdt_4h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
